CURRENT POPULATION
001010011100000101000000111100000000011101111011101011010010001110000 28 26.976190476190474
000010011100101001000100010111000111010001001000001100110111001010001 65 47.25765306122449
000110011100000101000001111101000111010001111010101110101001011011001 50 44.48979591836735
000010011100101001000100010011000101100001010000001000110111001101001 53 51.1317254174397
010111100000100001000000111111010101000101011010101011010101000110001 60 54.0
000001111100011001000000101111010111011101001010001110101001101110001 88 64.20408163265306
010010011000100101000101010111000101000101011010001110100111001111001 47 33.391581632653065
000111100000100001000000101111010111010001111010010110101001101010000 49 43.6
000110111100000010110000011101010110101100111011011011101011001110001 84 74.74285714285715
000010011100000101000000111101000100101010011000100000101001101110001 50 35.7780612244898
010111100000100001000000101111010101000101011010001110101011111111100 91 80.78571428571428
000010010000000101000000111101000101011010011000001110101011011111001 18 12.880102040816327
000010011100000101000000111101100100101010011000100000101001101111100 49 34.8125
010111100000100001101011001110000000111100100000001110100000110111000 95 93.96598639455783
000010010001000101000000111101000100011010011010010110101001001111101 44 32.382653061224495
000010011100101001000100010111000111010001111011001100110111001011001 53 38.53316326530612
110000111100000010110000010111010101011101110011101011011001001010001 64 61.150278293135436
001010011100000101000000111100000001100001001000101011010000011110000 89 85.89710884353742
001110011110000101000000011001000000011101010000001011101110001110011 0 0.0
000010010000000101000000111100000101011010011000001010101001001111001 90 63.02295918367347
000110011100000101000001111101000101100001010000001110101001011101001 68 67.25986394557823
000010011101000010110000011011010111100100111110001110100101001111101 42 30.21428571428572
000010011100000101010000111101000000111100001010001010011011001111010 21 14.410714285714286
001010011101000010110000001011010111100100111110001110110011011110101 0 0.0
000010011100000100000000111101000100101100111011011010100011001111010 100 69.00510204081633
000010011100000101000001111101000000111100001010001010011011100011000 53 38.600765306122454
000001111100011001000000101111010101011101001001000000101101001111000 8 6.0
100010111100000101000000011101000101100001010000001010000001001011001 68 65.22448979591836
000110011100000101000001111101000100101001111010100011111101011100001 62 56.24285714285714
000110111100000101000000111101000000111100001010001110011100101010000 37 33.035714285714285
001010111100100010110000111001000000110101011010001111001101001111000 99 95.96938775510203
100010011100000101000000011010000111100001111010100011010101101110011 37 27.797193877551017
000010011000001101000000111101110100101101011010001010101011001010001 87 60.58928571428571
