CURRENT POPULATION
100001011011111111010000101010011010010000010010110000111101001101101 9925 8270.833333333332
110010101100100010001000100100111110011101001010010011111010011110000 9855.0 9059.4140625
100001011011111111010000101010011010010000010010110000111110101101101 9802.0 8168.333333333333
110000101011101110110100100011000011000010001110010110000101011011110 9418.0 8706.744791666666
100001011011111111010000111000010101100011110100001001011110111010100 9293.0 7603.363636363637
110010010101100100001001101100111110011101110100101001011110010010100 9251 7884.375
110010011101100100001001101110010000011011110100001001011110110010100 9012.0 7578.272727272728
100001011011011010011011101010011010010000010010110011010100011101001 8967 7710.261363636364
010100110100011010011011110111001000100001110101011011010100011110011 8935.0 8661.986111111111
000110001010000100110001101010011010010000010010110000111101001101100 8932.0 8460.58888888889
101010101100100000000000000001110110010001100000000000010011010101110 8843.0 8164.260964912281
101010101100100000000000000001110110010001100000000010101111010101110 8822.0 8125.526315789473
110110001010000100110001101010011010010000010110010110001101001111101 8528.0 8030.533333333333
110110001010000100110000111010111001000010001101010100101011011101100 8528 8066.066666666667
010111010111001010010000111010111001000010001101010100111011011100100 8481 7897.931250000001
010111010111001010010000111010111001000010001101010100111011011100100 8448.0 7867.2
000000101000000010001000100100111110111101001010010011111010011100000 8446.0 7698.177083333334
100001011011111111010000111000010101100001000110011000000100001000111 8417.0 7141.69696969697
010111010111001010010001101010011010011000010111010110011101001110101 8348 7861.033333333333
110010011101100100001001101110010000011011100100001000000100111010101 8288.0 6969.454545454546
101010101100100000000000000001100110010001100000000010101111011101100 8169.0 7541.993421052632
110010101100100010001000100100111110011101000010010010101111011111110 8133.0 7270.409090909091
000000101000010000000110001100111110111111001011010000110011010000011 8074.0 7548.348958333334
110001111000100000100100110101100111011001111000110010001101011110111 8030.0 7465.390625
110011101100100010001000100101000000100001110101011011011010011110011 7738 6858.681818181818
TRACKER INFO
5
9855.0 9855.0 9855.0 9925 9925
POPULATION HISTORY
	Generation 0
110111110000110110011110111001000111000001111100001100000001111111010 2714 2600.916666666667
110001111000100000100100110101100111011001111000110010001101011110111 8030 6942.604166666667
000011010001000010110111100100110011101100010100011100100011110100010 759 687.125
000001011011010001010110110000100110110000111101111110100110100010011 6134 5495.041666666667
110010101110000101001001011010010110110001010100100010101101000001111 2868 2661.590909090909
110010011101100100001001101110010000011011110100001001011110110010100 9012 8261.0
010100110100011010011011110111001000100001110101011011010100011110011 8935 8711.625
000000101000110011000001111110100100001111001000110110100101000110001 5271 4557.21875
100001011011111111010000111000010101100001000110011000000100001000111 8417 7715.583333333333
100010011011101000001110110010100010000100101110011101111101011001000 445 396.328125
110010000001110000100001110100101110101010111101010011101010110111101 5563 4983.520833333334
100000100100101011101111001000011100100011000110111100101000101010100 2988 2693.7272727272725
110010101100100010001000100100111110011101001010010011111010011110000 9855 8623.125
100001011001001011100000010101101010001100100011100110000111101010101 700 639.0151515151515
101000101100000000000000000001110110010001100001111100010011010100100 7729 7729.0
010011010001101111011010010110001101111111101010101110100110010111011 6820 5967.5
110000101011101110110100100011000011000010001110010110000101011011110 9418 8167.171875
000110000100011110001100101110011000101010100100011011010100011001011 790 770.25
100110010110101000000011100001110000011110101100001001100110110010111 4673 4497.7625
110001101001111111011010001110001111111101111010001000011100001110110 488 429.5416666666667
010001111100101101001101111110111010110100100111101000111100111110111 6309 5663.761363636363
000000101000010000000110001100111110111111001011010000110011010000011 8074 7043.723958333334
010111010111001010010000111010111001000010001101010100111011011100100 8448 8184.0
000110001010000100110001101010011010010000010010110000111101001101100 8932 8832.755555555555
000101101100111101110001001000001011100101001000001001001100110100110 259 248.74791666666667
	Generation 1
110010101100100010001000100100111110011101001010010011111010011110000 9855 8392.1484375
110000101011101110110100100011000011000010001110010110000101011011110 9418 8142.645833333334
110010011101100100001001101110010000011011110100001001011110110010100 9012 7748.954545454546
010100110100011010011011110111001000100001110101011011010100011110011 8935 8885.361111111111
000110001010000100110001101010011010010000010010110000111101001101100 8932 8882.377777777778
101010101100100000000000000001110110010001100000000010101111010101110 8822 8570.495614035088
010111010111001010010000111010111001000010001101010100111011011100100 8448 8272.0
000000101000000010001000100100111110111101001010010011111010011100000 8446 7214.291666666666
100001011011111111010000111000010101100001000110011000000100001000111 8417 6982.284090909091
110010011101100100001001101110010000011011100100001000000100111010101 8288 7063.636363636364
000000101000010000000110001100111110111111001011010000110011010000011 8074 6833.463541666666
110001111000100000100100110101100111011001111000110010001101011110111 8030 6942.604166666667
101000101100000000000000000001110110010001100001111100010011010100100 7729 7508.6557017543855
010011010001101111011010010110001101111111101010101110100110010111011 6820 5967.5
010001111100101101001101111110111010110100100111101000111100111110111 6309 5496.477272727273
000001011011010001010110110000100110110000111101111110100110100010011 6134 5526.989583333333
100001011011111111010000111000010101100001000110011001011110101000101 5767 4827.678030303031
110010000001110000100001110100101110101010111101010011101010110111101 5563 4925.572916666666
110010101100110000000110001000111110011111001011010000110011010110011 5532 4667.625
000000101000110011000001101110100100001111110100001001011110110010101 5457 4733.534090909091
100001011111111111010000111000010000011011110110001000000100000000100 5407 4444.390151515152
000000101000110011000001111110100100001111001000110110100101000110001 5271 4502.3125
100110010110101000000011100001110000011110101100001001100110110010111 4673 4517.233333333334
010101110100011010011011110111001100011111101100001001100110111110011 4659 4484.2875
100001011011111111010000111000010101010000010010011000010100001000111 4248 3572.1818181818185
	Generation 2
110010101100100010001000100100111110011101001010010011111010011110000 9855 8725.78125
100001011011111111010000101010011010010000010010110000111110101101101 9802 8873.780303030302
110000101011101110110100100011000011000010001110010110000101011011110 9418 8142.645833333334
100001011011111111010000111000010101100011110100001001011110111010100 9293 8236.977272727272
110010011101100100001001101110010000011011110100001001011110110010100 9012 8022.045454545454
010100110100011010011011110111001000100001110101011011010100011110011 8935 8339.333333333334
000110001010000100110001101010011010010000010010110000111101001101100 8932 8336.533333333333
101010101100100000000000000001110110010001100000000000010011010101110 8843 7912.1578947368425
